pcr.id,sample.id
S001,702
S002,705
S003,448
S004,560
S005,561
S006,584
S007,585
S008,B1
S009,323
S010,458
S011,485
S012,486
S013,517
S014,556
S015,557
S016,602
S017,610
S018,611
S019,612
S020,613
S021,668
S022,671
S023,672
S024,679
S025,689
S026,697
S027,699
S028,701
S029,704
S030,706
S031,708
S032,PCR Blank
S033,358
S034,372
S035,423
S036,429
S037,447
S038,451
S039,453
S040,454
S041,663
S042,677
S043,690
S044,698
S045,700
S046,707
S047,709
S048,B3
S049,702
S050,705
S051,448
S052,560
S053,561
S054,584
S055,585
S056,B1
S057,323
S058,458
S059,485
S060,486
S061,517
S062,556
S063,557
S064,602
S065,610
S066,611
S067,612
S068,613
S069,668
S070,671
S071,672
S072,679
S073,689
S074,697
S075,699
S076,701
S077,704
S078,706
S079,708
S080,PCR Blank
S081,358
S082,372
S083,423
S084,429
S085,447
S086,451
S087,453
S088,454
S089,663
S090,677
S091,690
S092,698
S093,700
S094,707
S095,709
S096,B3
S097,319
S098,377
S099,378
S100,402
S101,425
S102,442
S103,450
S104,452
S105,595
S106,649
S107,655
S108,692
S109,694
S110,695
S111,696
S112,B4
S113,320
S114,361
S115,376
S116,424
S117,426
S118,430
S119,431
S120,443
S121,446
S122,459
S123,519
S124,594
S125,597
S126,630
S127,638
S128,653
S129,654
S130,669
S131,673
S132,674
S133,675
S134,682
S135,703
S136,PCR_Blank
S137,PCR_Blank
S138,319
S139,377
S140,378
S141,402
S142,425
S143,442
S144,450
S145,452
S146,595
S147,649
S148,655
S149,692
S150,694
S151,695
S152,696
S153,PCR_Blank
S154,320
S155,361
S156,376
S157,424
S158,426
S159,430
S160,431
S161,443
S162,446
S163,459
S164,519
S165,594
S166,597
S167,630
S168,638
S169,653
S170,654
S171,669
S172,673
S173,674
S174,675
S175,682
S176,703
S177,B5
S178,PCR_Blank
S179,334
S180,360
S181,362
S182,392
S183,422
S184,472
S185,605
S186,607
S187,635
S188,636
S189,637
S190,651
S191,683
S192,684
S193,688
S194,B6
S195,371
S196,373
S197,428
S198,604
S199,632
S200,634
S201,644
S202,661
S203,693
S204,PCR_Blank
S205,381
S206,606
S207,639
S208,647
S209,648
S210,678
S211,691
S212,B8
S213,PCR_Blank
S214,334
S215,360
S216,362
S217,392
S218,422
S219,472
S220,605
S221,607
S222,635
S223,636
S224,637
S225,651
S226,683
S227,684
S228,688
S229,B6
S230,371
S231,373
S232,428
S233,604
S234,632
S235,634
S236,644
S237,661
S238,693
S239,PCR_Blank
S240,381
S241,606
S242,639
S243,647
S244,648
S245,678
S246,691
S247,B8
S248,PCR_Blank
S249,702
S250,705
S251,448
S252,560
S253,561
S254,584
S255,585
S256,B1
S257,323
S258,458
S259,485
S260,486
S261,517
S262,556
S263,557
S264,602
S265,610
S266,611
S267,612
S268,613
S269,668
S270,671
S271,672
S272,679
S273,689
S274,697
S275,699
S276,701
S277,704
S278,706
S279,708
S280,PCR_Blank
S281,358
S282,372
S283,423
S284,429
S285,447
S286,451
S287,453
S288,454
S289,319
S290,377
S291,378
S292,402
S293,425
S294,442
S295,450
S296,452
S297,595
S298,649
S299,655
S300,692
S301,694
S302,695
S303,696
S304,PCR_Blank
S305,320
S306,361
S307,376
S308,424
S309,426
S310,430
S311,431
S312,443
S313,446
S314,459
S315,519
S316,594
S317,597
S318,630
S319,638
S320,653
S321,654
S322,669
S323,673
S324,674
S325,675
S326,682
S327,703
S328,B5
S329,663
S330,677
S331,690
S332,698
S333,700
S334,707
S335,709
S336,B3
S337,334
S338,360
S339,362
S340,392
S341,422
S342,472
S343,605
S344,607
S345,635
S346,636
S347,637
S348,651
S349,683
S350,684
S351,688
S352,PCR_Blank
S353,371
S354,373
S355,428
S356,604
S357,632
S358,634
S359,644
S360,661
S361,693
S362,381
S363,606
S364,639
S365,647
S366,648
S367,678
S368,691